"","X.x","site_no.x","dateTime","Flow_Inst.x","Site.x","Cat.x","X.y","site_no.y","Flow_Inst.y","Site.y","Cat.y","X.x.x","site_no.x.x","Flow_Inst.x.x","Site.x.x","Cat.x.x","X.y.y","site_no.y.y","Flow_Inst.y.y","Site.y.y","Cat.y.y"
"2777",2777,13185000,"2019-02-17 13:45:00",426,"BOISE RIVER NR TWIN SPRINGS ID ","Natural",7453,13206000,280,"BOISE RIVER AT GLENWOOD BRIDGE NR BOISE ID ","Managed",12129,13211205,732,"BOISE RIVER AT CALDWELL, ID ","Managed",16785,13213000,1050,"BOISE RIVER NR PARMA ID ","Managed"
"2778",2778,13185000,"2019-02-17 14:00:00",426,"BOISE RIVER NR TWIN SPRINGS ID ","Natural",7454,13206000,280,"BOISE RIVER AT GLENWOOD BRIDGE NR BOISE ID ","Managed",12130,13211205,732,"BOISE RIVER AT CALDWELL, ID ","Managed",16786,13213000,1050,"BOISE RIVER NR PARMA ID ","Managed"
"2779",2779,13185000,"2019-02-17 14:15:00",426,"BOISE RIVER NR TWIN SPRINGS ID ","Natural",7455,13206000,280,"BOISE RIVER AT GLENWOOD BRIDGE NR BOISE ID ","Managed",12131,13211205,727,"BOISE RIVER AT CALDWELL, ID ","Managed",16787,13213000,1050,"BOISE RIVER NR PARMA ID ","Managed"
"2780",2780,13185000,"2019-02-17 14:30:00",426,"BOISE RIVER NR TWIN SPRINGS ID ","Natural",7456,13206000,280,"BOISE RIVER AT GLENWOOD BRIDGE NR BOISE ID ","Managed",12132,13211205,727,"BOISE RIVER AT CALDWELL, ID ","Managed",16788,13213000,1050,"BOISE RIVER NR PARMA ID ","Managed"
"2781",2781,13185000,"2019-02-17 14:45:00",426,"BOISE RIVER NR TWIN SPRINGS ID ","Natural",7457,13206000,280,"BOISE RIVER AT GLENWOOD BRIDGE NR BOISE ID ","Managed",12133,13211205,727,"BOISE RIVER AT CALDWELL, ID ","Managed",16789,13213000,1050,"BOISE RIVER NR PARMA ID ","Managed"
"2782",2782,13185000,"2019-02-17 15:00:00",422,"BOISE RIVER NR TWIN SPRINGS ID ","Natural",7458,13206000,280,"BOISE RIVER AT GLENWOOD BRIDGE NR BOISE ID ","Managed",12134,13211205,721,"BOISE RIVER AT CALDWELL, ID ","Managed",16790,13213000,1050,"BOISE RIVER NR PARMA ID ","Managed"
"2783",2783,13185000,"2019-02-17 15:15:00",426,"BOISE RIVER NR TWIN SPRINGS ID ","Natural",7459,13206000,280,"BOISE RIVER AT GLENWOOD BRIDGE NR BOISE ID ","Managed",12135,13211205,727,"BOISE RIVER AT CALDWELL, ID ","Managed",16791,13213000,1040,"BOISE RIVER NR PARMA ID ","Managed"
"2784",2784,13185000,"2019-02-17 15:30:00",422,"BOISE RIVER NR TWIN SPRINGS ID ","Natural",7460,13206000,280,"BOISE RIVER AT GLENWOOD BRIDGE NR BOISE ID ","Managed",12136,13211205,727,"BOISE RIVER AT CALDWELL, ID ","Managed",16792,13213000,1050,"BOISE RIVER NR PARMA ID ","Managed"
"2785",2785,13185000,"2019-02-17 15:45:00",422,"BOISE RIVER NR TWIN SPRINGS ID ","Natural",7461,13206000,280,"BOISE RIVER AT GLENWOOD BRIDGE NR BOISE ID ","Managed",12137,13211205,721,"BOISE RIVER AT CALDWELL, ID ","Managed",16793,13213000,1040,"BOISE RIVER NR PARMA ID ","Managed"
"2786",2786,13185000,"2019-02-17 16:00:00",422,"BOISE RIVER NR TWIN SPRINGS ID ","Natural",7462,13206000,280,"BOISE RIVER AT GLENWOOD BRIDGE NR BOISE ID ","Managed",12138,13211205,721,"BOISE RIVER AT CALDWELL, ID ","Managed",16794,13213000,1040,"BOISE RIVER NR PARMA ID ","Managed"
"2787",2787,13185000,"2019-02-17 16:15:00",422,"BOISE RIVER NR TWIN SPRINGS ID ","Natural",7463,13206000,280,"BOISE RIVER AT GLENWOOD BRIDGE NR BOISE ID ","Managed",12139,13211205,721,"BOISE RIVER AT CALDWELL, ID ","Managed",16795,13213000,1040,"BOISE RIVER NR PARMA ID ","Managed"
"2788",2788,13185000,"2019-02-17 16:30:00",422,"BOISE RIVER NR TWIN SPRINGS ID ","Natural",7464,13206000,280,"BOISE RIVER AT GLENWOOD BRIDGE NR BOISE ID ","Managed",12140,13211205,721,"BOISE RIVER AT CALDWELL, ID ","Managed",16796,13213000,1040,"BOISE RIVER NR PARMA ID ","Managed"
